dependency_bigram,head_dep,child_dep,pre_count,post_count,pre_proportion,post_proportion,proportion_change,abs_proportion_change,relative_change_pct
pobj->acl,pobj,acl,23002.0,12433.0,0.00550288002874646,0.004612149841266073,-0.0008907301874803873,0.0008907301874803873,-16.186618331261222
appos->amod,appos,amod,8719.0,7993.0,0.0020858886605790968,0.002965085955219152,0.0008791972946400554,0.0008791972946400554,42.14977104271555
pobj->relcl,pobj,relcl,20562.0,10907.0,0.004919146993786832,0.0040460643705211175,-0.0008730826232657141,0.0008730826232657141,-17.748658951815592
nsubj->compound,nsubj,compound,26848.0,19464.0,0.006422977263359053,0.007220371954508392,0.000797394691149339,0.000797394691149339,12.41472075104812
dobj->nmod,dobj,nmod,7613.0,7054.0,0.0018212949160441177,0.00261675420094031,0.0007954592848961925,0.0007954592848961925,43.67547934652687
advcl->prep,advcl,prep,17172.0,13191.0,0.004108140850953578,0.004893337774965074,0.000785196924011496,0.000785196924011496,19.113193838746707
nsubj->poss,nsubj,poss,10255.0,8506.0,0.0024533533907831902,0.0031553886069178166,0.0007020352161346264,0.0007020352161346264,28.615331927803275
attr->prep,attr,prep,12007.0,5868.0,0.0028724928486722344,0.002176795243991741,-0.0006956976046804935,0.0006956976046804935,-24.219298056810448
agent->pobj,agent,pobj,15105.0,7868.0,0.0036136424151906473,0.002918715913382246,-0.0006949265018084015,0.0006949265018084015,-19.230638285823275
ccomp->prep,ccomp,prep,19751.0,10871.0,0.004725127530117873,0.004032709798472089,-0.0006924177316457846,0.0006924177316457846,-14.6539480094945
relcl->prep,relcl,prep,21085.0,11748.0,0.005044266820542522,0.004358042011999825,-0.0006862248085426972,0.0006862248085426972,-13.604054522811547
ccomp->nsubj,ccomp,nsubj,32550.0,19142.0,0.007787094380301594,0.007100922726736521,-0.0006861716535650729,0.0006861716535650729,-8.811651946852319
attr->det,attr,det,13755.0,7024.0,0.0032906753671597057,0.002605625390899453,-0.0006850499762602528,0.0006850499762602528,-20.817914252402932
dobj->acl,dobj,acl,14726.0,11287.0,0.0035229724068915904,0.004187029297705314,0.0006640568908137232,0.0006640568908137232,18.849335564329266
advcl->aux,advcl,aux,15893.0,12008.0,0.00380215947730056,0.00445449169902059,0.0006523322217200302,0.0006523322217200302,17.156887437640307
pobj->cc,pobj,cc,33383.0,23235.0,0.007986377010679205,0.008619263376644188,0.0006328863659649832,0.0006328863659649832,7.924574123143719
nmod->amod,nmod,amod,7253.0,6352.0,0.0017351703699025334,0.002356340045984243,0.0006211696760817097,0.0006211696760817097,35.7987715129438
ccomp->aux,ccomp,aux,12275.0,6280.0,0.0029366077885776363,0.0023296309018861847,-0.0006069768866914516,0.0006069768866914516,-20.669320876024933
nsubjpass->compound,nsubjpass,compound,11130.0,5550.0,0.0026626838848773193,0.0020588298575586507,-0.0006038540273186686,0.0006038540273186686,-22.6783971897021
ROOT->prep,ROOT,prep,82857.0,51816.0,0.01982228199903684,0.0192216807025692,-0.0006006012964676413,0.0006006012964676413,-3.0299301387036284
attr->amod,attr,amod,14554.0,7857.0,0.0034818240126239445,0.002914635349700598,-0.0005671886629233466,0.0005671886629233466,-16.289986537714363
ROOT->xcomp,ROOT,xcomp,15207.0,8292.0,0.003638044369930763,0.003076003095293033,-0.0005620412746377302,0.0005620412746377302,-15.448994500537843
appos->compound,appos,compound,6672.0,5798.0,0.0015961749218240317,0.0021508280205630734,0.0005546530987390417,0.0005546530987390417,34.7488919388115
dobj->poss,dobj,poss,7489.0,6314.0,0.00179162979459535,0.0023422435532658237,0.0005506137586704738,0.0005506137586704738,30.732563185288686
relcl->auxpass,relcl,auxpass,7672.0,3464.0,0.0018354097722173219,0.0012850065993843542,-0.0005504031728329676,0.0005504031728329676,-29.988026715583878
relcl->nsubjpass,relcl,nsubjpass,7464.0,3343.0,0.0017856489233355176,0.0012401203988862287,-0.0005455285244492889,0.0005455285244492889,-30.55071561492975
ccomp->auxpass,ccomp,auxpass,7015.0,3055.0,0.0016782324755089302,0.001133283822493996,-0.0005449486530149342,0.0005449486530149342,-32.471583107082736
pobj->amod,pobj,amod,258213.0,165097.0,0.06177354842460262,0.06124443837718208,-0.000529110047420539,0.000529110047420539,-0.8565317371501517
